author,epub_link,html_link,img_link,title,book_id
"Thompson, Silvanus P. (Silvanus Phillips), 1851-1916",https://www.gutenberg.org/files/33283/33283-t/3328,https://www.gutenberg.org/files/33283/33283-pdf.pdf?session_id=0c5f1f0586259da890db7712f76da6ff8fe09d32,,Calculus Made Easy by Silvanus P. Thompson,3328
"Marcus Aurelius, Emperor of Rome, 121-180",https://www.gutenberg.org/ebooks/2680.epub,https://www.gutenberg.org/files/2680/2680-h/2680-h.htm,,Meditations by Emperor of Rome Marcus Aurelius,2680
"Dickens, Charles, 1812-1870",https://www.gutenberg.org/ebooks/1400.epub,https://www.gutenberg.org/files/1400/1400-h/1400-h.htm,,Great Expectations by Charles Dickens,1400
"Ibsen, Henrik, 1828-1906",https://www.gutenberg.org/ebooks/2542.epub,https://www.gutenberg.org/files/2542/2542-h/2542-h.htm,,A Doll's House : a play by Henrik Ibsen,2542
Vatsyayana,https://www.gutenberg.org/ebooks/27827.epub,https://www.gutenberg.org/files/27827/27827-h/27827-h.htm,,The Kama Sutra of Vatsyayana by Vatsyayana,27827
"Plato, 427? BCE-347? BCE",https://www.gutenberg.org/ebooks/1497.epub,https://www.gutenberg.org/files/1497/1497-h/1497-h.htm,,The Republic by Plato,1497
"Douglass, Frederick, 1818-1895",https://www.gutenberg.org/ebooks/23.epub,https://www.gutenberg.org/files/23/23-h/23-h.htm,,"Narrative of the Life of Frederick Douglass, an American Slave by Douglass",23
"Gibran, Kahlil, 1883-1931",https://www.gutenberg.org/ebooks/58585.epub,https://www.gutenberg.org/files/58585/58585-h/58585-h.htm,https://www.gutenberg.org/cache/epub/58585/pg58585.cover.medium.jpg,The Prophet by Kahlil Gibran,58585
"Dostoyevsky, Fyodor, 1821-1881",https://www.gutenberg.org/ebooks/2554.epub,https://www.gutenberg.org/files/2554/2554-h/2554-h.htm,,Crime and Punishment by Fyodor Dostoyevsky,2554
"Austen, Jane, 1775-1817",https://www.gutenberg.org/ebooks/158.epub,https://www.gutenberg.org/files/158/158-h/158-h.htm,,Emma by Jane Austen,158
"Wells, H. G. (Herbert George), 1866-1946",https://www.gutenberg.org/ebooks/35.epub,https://www.gutenberg.org/files/35/35-h/35-h.htm,,The Time Machine by H. G. Wells,35
"Grimm, Jacob, 1785-1863",https://www.gutenberg.org/ebooks/2591.epub,https://www.gutenberg.org/files/2591/2591-h/2591-h.htm,,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,2591
"Barrie, J. M. (James Matthew), 1860-1937",https://www.gutenberg.org/ebooks/16.epub,https://www.gutenberg.org/files/16/16-h/16-h.htm,,Peter Pan by J. M. Barrie,16
"Twain, Mark, 1835-1910",https://www.gutenberg.org/ebooks/76.epub,https://www.gutenberg.org/files/76/76-h/76-h.htm,https://www.gutenberg.org/cache/epub/76/pg76.cover.medium.jpg,Adventures of Huckleberry Finn by Mark Twain,76
"Kafka, Franz, 1883-1924",https://www.gutenberg.org/ebooks/5200.epub,https://www.gutenberg.org/files/5200/5200-h/5200-h.htm,,Metamorphosis by Franz Kafka,5200
"Brontë, Charlotte, 1816-1855",https://www.gutenberg.org/ebooks/1260.epub,https://www.gutenberg.org/files/1260/1260-h/1260-h.htm,,Jane Eyre: An Autobiography by Charlotte Brontë,1260
"Twain, Mark, 1835-1910",https://www.gutenberg.org/ebooks/74.epub,https://www.gutenberg.org/files/74/74-h/74-h.htm,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg,The Adventures of Tom Sawyer by Mark Twain,74
"Machiavelli, Niccolò, 1469-1527",https://www.gutenberg.org/ebooks/1232.epub,https://www.gutenberg.org/files/1232/1232-h/1232-h.htm,,The Prince by Niccolò Machiavelli,1232
"Dumas, Alexandre, 1802-1870",https://www.gutenberg.org/ebooks/1184.epub,https://www.gutenberg.org/files/1184/1184-h/1184-h.htm,https://www.gutenberg.org/cache/epub/1184/pg1184.cover.medium.jpg,"The Count of Monte Cristo, Illustrated by Alexandre Dumas",1184
"Wilde, Oscar, 1854-1900",https://www.gutenberg.org/ebooks/174.epub,https://www.gutenberg.org/files/174/174-h/174-h.htm,,The Picture of Dorian Gray by Oscar Wilde,174
"Buckley, Theodore Alois, 1825-1856",https://www.gutenberg.org/ebooks/6130.epub,https://www.gutenberg.org/files/6130/6130-h/6130-h.html,,The Iliad by Homer,6130
"Gilman, Charlotte Perkins, 1860-1935",https://www.gutenberg.org/ebooks/1952.epub,https://www.gutenberg.org/files/1952/1952-h/1952-h.htm,,The Yellow Wallpaper by Charlotte Perkins Gilman,1952
"Joyce, James, 1882-1941",https://www.gutenberg.org/ebooks/4300.epub,https://www.gutenberg.org/files/4300/4300-h/4300-h.htm,https://www.gutenberg.org/cache/epub/4300/pg4300.cover.medium.jpg,Ulysses by James Joyce,4300
"Wilde, Oscar, 1854-1900",https://www.gutenberg.org/ebooks/844.epub,https://www.gutenberg.org/files/844/844-h/844-h.htm,,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,844
"Alcott, Louisa May, 1832-1888",https://www.gutenberg.org/ebooks/514.epub,https://www.gutenberg.org/files/514/514-h/514-h.htm,,Little Women by Louisa May Alcott,514
"Stevenson, Robert Louis, 1850-1894",https://www.gutenberg.org/ebooks/43.epub,https://www.gutenberg.org/files/43/43-h/43-h.htm,https://www.gutenberg.org/cache/epub/43/pg43.cover.medium.jpg,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,43
"Dickens, Charles, 1812-1870",https://www.gutenberg.org/ebooks/98.epub,https://www.gutenberg.org/files/98/98-h/98-h.htm,,A Tale of Two Cities by Charles Dickens,98
"Stoker, Bram, 1847-1912",https://www.gutenberg.org/ebooks/345.epub,https://www.gutenberg.org/files/345/345-h/345-h.htm,https://www.gutenberg.org/cache/epub/345/pg345.cover.medium.jpg,Dracula by Bram Stoker,345
"Tolstoy, Leo, graf, 1828-1910",https://www.gutenberg.org/ebooks/2600.epub,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm,https://www.gutenberg.org/cache/epub/2600/pg2600.cover.medium.jpg,War and Peace by graf Leo Tolstoy,2600
